\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
       1.257 &               0.000 &      133.908 &               0.010 &      264.964 &              -2.615 &      393.700 &              -2.582 &      522.900 &              -2.462 &      652.100 &              -1.748 &      782.247 &              -0.948 &      915.269 &              -0.121 &     1047.202 &               0.073 &     1179.203 &               0.111 \\
      72.884 &               0.006 &      205.814 &              -2.151 &      334.714 &              -2.596 &      463.836 &              -2.567 &      592.815 &              -2.097 &      722.013 &              -1.323 &      853.866 &              -0.501 &      986.818 &               0.038 &     1118.820 &               0.097 &     1250.820 &               0.125 \\
      73.598 &               0.005 &      206.446 &              -2.177 &      335.487 &              -2.596 &      464.467 &              -2.567 &      593.505 &              -2.091 &      722.704 &              -1.317 &      854.639 &              -0.495 &      987.590 &               0.038 &     1119.592 &               0.098 &     1251.593 &               0.125 \\
      74.289 &               0.005 &      207.219 &              -2.228 &      336.202 &              -2.596 &      465.158 &              -2.568 &      594.136 &              -2.088 &      723.335 &              -1.314 &      855.270 &              -0.492 &      988.222 &               0.039 &     1120.306 &               0.098 &     1252.224 &               0.126 \\
      74.921 &               0.005 &      207.850 &              -2.250 &      336.892 &              -2.596 &      465.789 &              -2.567 &      594.827 &              -2.083 &      724.025 &              -1.308 &      856.042 &              -0.486 &      988.994 &               0.040 &     1120.996 &               0.098 &     1252.997 &               0.126 \\
      75.693 &               0.006 &      208.482 &              -2.272 &      337.523 &              -2.596 &      466.563 &              -2.567 &      595.541 &              -2.080 &      724.657 &              -1.305 &      856.675 &              -0.483 &      989.626 &               0.039 &     1121.628 &               0.098 &     1253.629 &               0.125 \\
      76.408 &               0.006 &      209.173 &              -2.312 &      338.295 &              -2.595 &      467.194 &              -2.566 &      596.231 &              -2.075 &      725.442 &              -1.300 &      857.447 &              -0.477 &      990.399 &               0.041 &     1122.401 &               0.098 &     1254.401 &               0.125 \\
      77.098 &               0.006 &      209.805 &              -2.330 &      338.928 &              -2.596 &      467.826 &              -2.566 &      596.863 &              -2.072 &      726.156 &              -1.296 &      858.160 &              -0.474 &      991.112 &               0.041 &     1123.032 &               0.099 &     1255.116 &               0.125 \\
      77.731 &               0.006 &      210.495 &              -2.364 &      339.700 &              -2.595 &      468.517 &              -2.567 &      597.495 &              -2.069 &      726.846 &              -1.290 &      858.851 &              -0.468 &      991.802 &               0.042 &     1123.805 &               0.099 &     1255.805 &               0.126 \\
      78.502 &               0.006 &      211.210 &              -2.379 &      340.332 &              -2.595 &      469.149 &              -2.566 &      598.186 &              -2.064 &      727.560 &              -1.288 &      859.484 &              -0.466 &      992.435 &               0.042 &     1124.437 &               0.099 &     1256.520 &               0.126 \\
      79.135 &               0.005 &      211.900 &              -2.407 &      341.104 &              -2.595 &      469.840 &              -2.566 &      598.817 &              -2.062 &      728.250 &              -1.282 &      860.255 &              -0.460 &      993.207 &               0.043 &     1125.209 &               0.099 &     1257.210 &               0.126 \\
      79.907 &               0.006 &      212.532 &              -2.420 &      341.736 &              -2.594 &      470.472 &              -2.566 &      599.508 &              -2.057 &      728.882 &              -1.279 &      860.888 &              -0.457 &      993.921 &               0.044 &     1125.841 &               0.099 &     1257.842 &               0.126 \\
      80.621 &               0.006 &      213.303 &              -2.443 &      342.509 &              -2.594 &      471.244 &              -2.565 &      600.140 &              -2.054 &      729.655 &              -1.273 &      861.660 &              -0.451 &      994.611 &               0.044 &     1126.613 &               0.098 &     1258.614 &               0.127 \\
      81.311 &               0.006 &      214.018 &              -2.454 &      343.141 &              -2.595 &      471.876 &              -2.566 &      600.772 &              -2.051 &      730.287 &              -1.271 &      862.374 &              -0.447 &      995.243 &               0.044 &     1127.246 &               0.100 &     1259.247 &               0.126 \\
      81.943 &               0.006 &      214.709 &              -2.473 &      343.774 &              -2.594 &      472.508 &              -2.566 &      601.462 &              -2.046 &      731.058 &              -1.265 &      863.065 &              -0.443 &      996.015 &               0.045 &     1128.018 &               0.100 &     1260.018 &               0.127 \\
      82.716 &               0.006 &      215.341 &              -2.482 &      344.464 &              -2.594 &      473.199 &              -2.565 &      602.176 &              -2.043 &      731.691 &              -1.262 &      863.777 &              -0.439 &      996.730 &               0.046 &     1128.649 &               0.099 &     1260.651 &               0.127 \\
      83.347 &               0.007 &      216.113 &              -2.498 &      345.096 &              -2.594 &      473.911 &              -2.565 &      602.866 &              -2.037 &      732.463 &              -1.256 &      864.551 &              -0.433 &      997.420 &               0.046 &     1129.423 &               0.101 &     1261.423 &               0.127 \\
      84.120 &               0.006 &      216.827 &              -2.506 &      345.786 &              -2.594 &      474.602 &              -2.565 &      603.499 &              -2.034 &      733.095 &              -1.252 &      865.405 &              -0.427 &      998.134 &               0.046 &     1130.055 &               0.101 &     1262.054 &               0.127 \\
      84.752 &               0.007 &      217.518 &              -2.519 &      346.500 &              -2.594 &      475.457 &              -2.565 &      604.189 &              -2.029 &      733.868 &              -1.247 &      866.118 &              -0.425 &      998.824 &               0.047 &     1130.827 &               0.100 &     1262.827 &               0.127 \\
      85.528 &               0.006 &      218.149 &              -2.525 &      347.190 &              -2.593 &      476.171 &              -2.565 &      604.821 &              -2.027 &      734.582 &              -1.244 &      866.808 &              -0.419 &      999.538 &               0.047 &     1131.458 &               0.101 &     1263.458 &               0.127 \\
      86.156 &               0.006 &      218.922 &              -2.537 &      347.822 &              -2.593 &      476.861 &              -2.564 &      605.453 &              -2.024 &      735.272 &              -1.238 &      867.523 &              -0.415 &     1000.229 &               0.048 &     1132.231 &               0.101 &     1264.231 &               0.127 \\
      86.929 &               0.006 &      219.636 &              -2.541 &      348.595 &              -2.593 &      477.493 &              -2.565 &      606.144 &              -2.018 &      735.985 &              -1.235 &      868.213 &              -0.410 &     1000.943 &               0.049 &     1132.945 &               0.101 &     1264.863 &               0.128 \\
      87.561 &               0.006 &      220.326 &              -2.552 &      349.227 &              -2.593 &      478.266 &              -2.565 &      606.776 &              -2.017 &      736.676 &              -1.230 &      869.150 &              -0.404 &     1001.633 &               0.050 &     1133.634 &               0.101 &     1265.635 &               0.128 \\
      88.334 &               0.007 &      220.958 &              -2.556 &      349.999 &              -2.593 &      478.898 &              -2.564 &      607.466 &              -2.011 &      737.390 &              -1.227 &      869.863 &              -0.401 &     1002.347 &               0.049 &     1134.349 &               0.102 &     1266.268 &               0.127 \\
      88.965 &               0.007 &      221.731 &              -2.564 &      350.631 &              -2.592 &      479.529 &              -2.563 &      608.097 &              -2.008 &      738.080 &              -1.221 &      870.553 &              -0.395 &     1003.038 &               0.051 &     1135.040 &               0.102 &     1267.040 &               0.127 \\
      89.738 &               0.006 &      222.363 &              -2.567 &      351.403 &              -2.592 &      480.219 &              -2.563 &      608.871 &              -2.002 &      738.712 &              -1.218 &      871.268 &              -0.392 &     1003.669 &               0.051 &     1135.671 &               0.101 &     1267.671 &               0.128 \\
      90.370 &               0.007 &      222.994 &              -2.571 &      352.035 &              -2.592 &      481.074 &              -2.563 &      609.502 &              -2.000 &      739.484 &              -1.212 &      872.040 &              -0.387 &     1004.441 &               0.051 &     1136.444 &               0.102 &     1268.444 &               0.127 \\
      91.142 &               0.007 &      223.685 &              -2.577 &      352.668 &              -2.592 &      481.706 &              -2.563 &      610.274 &              -1.994 &      740.199 &              -1.210 &      872.894 &              -0.381 &     1005.155 &               0.051 &     1137.075 &               0.102 &     1269.076 &               0.127 \\
      91.857 &               0.007 &      224.539 &              -2.582 &      353.358 &              -2.592 &      482.478 &              -2.564 &      610.906 &              -1.991 &      740.889 &              -1.204 &      873.607 &              -0.378 &     1005.846 &               0.052 &     1137.848 &               0.103 &     1269.849 &               0.128 \\
      92.547 &               0.007 &      225.172 &              -2.584 &      353.990 &              -2.592 &      483.110 &              -2.563 &      611.538 &              -1.989 &      741.521 &              -1.201 &      874.298 &              -0.372 &     1006.477 &               0.052 &     1138.479 &               0.102 &     1270.480 &               0.127 \\
      93.260 &               0.007 &      225.944 &              -2.589 &      354.680 &              -2.591 &      483.743 &              -2.563 &      612.229 &              -1.983 &      742.293 &              -1.195 &      874.930 &              -0.369 &     1007.250 &               0.053 &     1139.252 &               0.103 &     1271.252 &               0.128 \\
      93.952 &               0.007 &      226.576 &              -2.591 &      355.313 &              -2.591 &      484.433 &              -2.563 &      613.084 &              -1.979 &      743.007 &              -1.193 &      875.703 &              -0.363 &     1007.964 &               0.053 &     1139.884 &               0.103 &     1271.884 &               0.129 \\
      94.584 &               0.007 &      227.208 &              -2.593 &      356.085 &              -2.591 &      485.065 &              -2.563 &      613.797 &              -1.975 &      743.697 &              -1.187 &      876.335 &              -0.360 &     1008.655 &               0.054 &     1140.656 &               0.103 &     1272.656 &               0.128 \\
      95.356 &               0.007 &      227.898 &              -2.596 &      356.717 &              -2.591 &      485.755 &              -2.562 &      614.488 &              -1.969 &      744.330 &              -1.184 &      877.107 &              -0.354 &     1009.286 &               0.054 &     1141.288 &               0.103 &     1273.288 &               0.128 \\
      95.988 &               0.007 &      228.613 &              -2.598 &      357.489 &              -2.591 &      486.387 &              -2.562 &      615.119 &              -1.967 &      745.102 &              -1.177 &      877.821 &              -0.351 &     1010.059 &               0.055 &     1142.061 &               0.103 &     1274.061 &               0.129 \\
      96.760 &               0.007 &      229.303 &              -2.601 &      358.203 &              -2.591 &      487.160 &              -2.562 &      615.892 &              -1.961 &      745.733 &              -1.175 &      878.511 &              -0.346 &     1010.773 &               0.055 &     1142.693 &               0.103 &     1274.693 &               0.129 \\
      97.392 &               0.007 &      229.934 &              -2.602 &      358.894 &              -2.591 &      487.792 &              -2.562 &      616.524 &              -1.958 &      746.507 &              -1.170 &      879.225 &              -0.343 &     1011.462 &               0.056 &     1143.464 &               0.104 &     1275.465 &               0.129 \\
      98.165 &               0.007 &      230.625 &              -2.604 &      359.525 &              -2.591 &      488.423 &              -2.562 &      617.297 &              -1.954 &      747.138 &              -1.167 &      879.915 &              -0.337 &     1012.177 &               0.056 &     1144.179 &               0.103 &     1276.096 &               0.129 \\
      98.878 &               0.007 &      231.339 &              -2.605 &      360.157 &              -2.590 &      489.115 &              -2.561 &      618.010 &              -1.951 &      747.911 &              -1.160 &      880.630 &              -0.334 &     1012.868 &               0.057 &     1144.869 &               0.104 &     1276.869 &               0.129 \\
      99.569 &               0.007 &      232.030 &              -2.607 &      360.848 &              -2.590 &      489.829 &              -2.559 &      618.700 &              -1.945 &      748.542 &              -1.158 &      881.321 &              -0.328 &     1013.499 &               0.057 &     1145.502 &               0.104 &     1277.502 &               0.129 \\
     100.201 &               0.007 &      232.746 &              -2.609 &      361.481 &              -2.589 &      490.518 &              -2.559 &      619.414 &              -1.943 &      749.315 &              -1.152 &      882.035 &              -0.325 &     1014.272 &               0.057 &     1146.274 &               0.104 &     1278.273 &               0.129 \\
     100.973 &               0.007 &      233.435 &              -2.609 &      362.171 &              -2.590 &      491.150 &              -2.559 &      620.105 &              -1.938 &      749.947 &              -1.149 &      882.724 &              -0.319 &     1014.985 &               0.058 &     1146.905 &               0.104 &     1278.988 &               0.130 \\
     101.606 &               0.008 &      234.066 &              -2.610 &      362.884 &              -2.590 &      491.841 &              -2.558 &      620.737 &              -1.935 &      750.719 &              -1.142 &      883.438 &              -0.316 &     1015.676 &               0.058 &     1147.678 &               0.105 &     1279.677 &               0.129 \\
     102.377 &               0.007 &      234.698 &              -2.612 &      363.575 &              -2.589 &      492.473 &              -2.557 &      621.509 &              -1.929 &      751.351 &              -1.140 &      884.128 &              -0.310 &     1016.308 &               0.058 &     1148.309 &               0.104 &     1280.310 &               0.130 \\
     103.010 &               0.008 &      235.389 &              -2.613 &      364.207 &              -2.589 &      493.105 &              -2.557 &      622.141 &              -1.927 &      752.124 &              -1.134 &      884.761 &              -0.307 &     1017.080 &               0.059 &     1149.082 &               0.104 &     1281.083 &               0.130 \\
     103.782 &               0.008 &      236.102 &              -2.613 &      364.979 &              -2.589 &      493.796 &              -2.555 &      622.914 &              -1.921 &      752.756 &              -1.132 &      885.533 &              -0.301 &     1017.794 &               0.059 &     1149.714 &               0.104 &     1281.714 &               0.129 \\
     104.496 &               0.008 &      236.793 &              -2.613 &      365.693 &              -2.589 &      494.509 &              -2.554 &      623.546 &              -1.918 &      753.529 &              -1.125 &      886.247 &              -0.299 &     1018.484 &               0.060 &     1150.486 &               0.105 &     1282.486 &               0.130 \\
     105.187 &               0.008 &      237.425 &              -2.614 &      366.383 &              -2.589 &      495.200 &              -2.553 &      624.318 &              -1.913 &      754.160 &              -1.123 &      886.937 &              -0.293 &     1019.115 &               0.060 &     1151.119 &               0.106 &     1283.118 &               0.130 \\
     105.819 &               0.008 &      238.115 &              -2.615 &      367.097 &              -2.589 &      495.831 &              -2.553 &      624.951 &              -1.910 &      754.932 &              -1.117 &      887.651 &              -0.290 &     1019.889 &               0.060 &     1151.891 &               0.106 &     1283.891 &               0.130 \\
     106.591 &               0.008 &      238.747 &              -2.615 &      367.788 &              -2.588 &      496.523 &              -2.551 &      625.722 &              -1.904 &      755.565 &              -1.115 &      888.342 &              -0.285 &     1020.520 &               0.061 &     1152.522 &               0.106 &     1284.604 &               0.130 \\
     107.305 &               0.008 &      239.380 &              -2.615 &      368.420 &              -2.588 &      497.154 &              -2.550 &      626.437 &              -1.901 &      756.336 &              -1.109 &      889.055 &              -0.281 &     1021.293 &               0.061 &     1153.295 &               0.105 &     1285.295 &               0.131 \\
     107.996 &               0.008 &      240.070 &              -2.615 &      369.052 &              -2.588 &      497.927 &              -2.548 &      627.126 &              -1.896 &      757.051 &              -1.105 &      889.746 &              -0.275 &     1021.924 &               0.062 &     1153.927 &               0.106 &     1286.009 &               0.131 \\
     108.709 &               0.008 &      240.702 &              -2.616 &      369.743 &              -2.588 &      498.561 &              -2.547 &      627.759 &              -1.893 &      757.740 &              -1.100 &      890.460 &              -0.272 &     1022.696 &               0.062 &     1154.699 &               0.107 &     1286.699 &               0.131 \\
     109.400 &               0.008 &      241.392 &              -2.616 &      370.374 &              -2.588 &      499.331 &              -2.545 &      628.531 &              -1.888 &      758.372 &              -1.097 &      891.150 &              -0.266 &     1023.329 &               0.062 &     1155.331 &               0.106 &     1287.331 &               0.131 \\
     110.114 &               0.008 &      242.106 &              -2.616 &      371.065 &              -2.587 &      499.963 &              -2.543 &      629.245 &              -1.885 &      759.145 &              -1.092 &      891.782 &              -0.263 &     1024.101 &               0.063 &     1156.103 &               0.107 &     1288.103 &               0.131 \\
     110.805 &               0.009 &      242.796 &              -2.618 &      371.698 &              -2.588 &      500.735 &              -2.542 &      629.935 &              -1.880 &      759.777 &              -1.089 &      892.555 &              -0.257 &     1024.733 &               0.062 &     1156.736 &               0.107 &     1288.736 &               0.131 \\
     111.437 &               0.008 &      243.512 &              -2.617 &      372.470 &              -2.587 &      501.368 &              -2.541 &      630.649 &              -1.877 &      760.550 &              -1.083 &      893.186 &              -0.254 &     1025.506 &               0.063 &     1157.507 &               0.106 &     1289.507 &               0.131 \\
     112.209 &               0.009 &      244.201 &              -2.617 &      373.184 &              -2.587 &      502.140 &              -2.539 &      631.339 &              -1.871 &      761.263 &              -1.079 &      893.959 &              -0.249 &     1026.219 &               0.064 &     1158.221 &               0.106 &     1290.140 &               0.131 \\
     112.841 &               0.008 &      244.915 &              -2.617 &      373.874 &              -2.587 &      502.853 &              -2.538 &      631.972 &              -1.868 &      761.953 &              -1.074 &      894.673 &              -0.245 &     1026.910 &               0.064 &     1158.911 &               0.107 &     1290.912 &               0.132 \\
     113.613 &               0.009 &      245.606 &              -2.618 &      374.505 &              -2.587 &      503.544 &              -2.535 &      632.744 &              -1.863 &      762.668 &              -1.071 &      895.364 &              -0.239 &     1027.542 &               0.064 &     1159.543 &               0.107 &     1291.626 &               0.131 \\
     114.246 &               0.009 &      246.238 &              -2.618 &      375.279 &              -2.587 &      504.176 &              -2.533 &      633.377 &              -1.860 &      763.358 &              -1.065 &      896.076 &              -0.236 &     1028.313 &               0.065 &     1160.316 &               0.107 &     1292.317 &               0.131 \\
     115.018 &               0.008 &      247.011 &              -2.617 &      375.910 &              -2.587 &      504.809 &              -2.532 &      634.148 &              -1.854 &      763.991 &              -1.062 &      896.849 &              -0.230 &     1029.027 &               0.065 &     1160.948 &               0.108 &     1293.029 &               0.132 \\
     115.649 &               0.008 &      247.643 &              -2.618 &      376.683 &              -2.586 &      505.498 &              -2.529 &      634.780 &              -1.852 &      764.762 &              -1.056 &      897.704 &              -0.225 &     1029.718 &               0.065 &     1161.720 &               0.108 &     1293.720 &               0.132 \\
     116.422 &               0.009 &      248.274 &              -2.617 &      377.314 &              -2.586 &      506.212 &              -2.527 &      635.553 &              -1.846 &      765.394 &              -1.054 &      898.417 &              -0.222 &     1030.432 &               0.066 &     1162.353 &               0.108 &     1294.352 &               0.132 \\
     117.054 &               0.009 &      248.964 &              -2.618 &      378.087 &              -2.586 &      506.903 &              -2.525 &      636.185 &              -1.843 &      766.167 &              -1.048 &      899.108 &              -0.216 &     1031.123 &               0.066 &     1163.124 &               0.108 &     1295.125 &               0.133 \\
     117.827 &               0.009 &      249.597 &              -2.617 &      378.719 &              -2.586 &      507.535 &              -2.523 &      636.958 &              -1.838 &      766.798 &              -1.045 &      899.821 &              -0.213 &     1031.755 &               0.067 &     1163.757 &               0.108 &     1295.756 &               0.132 \\
     118.459 &               0.009 &      250.287 &              -2.618 &      379.350 &              -2.586 &      508.225 &              -2.520 &      637.589 &              -1.835 &      767.571 &              -1.039 &      900.512 &              -0.207 &     1032.527 &               0.067 &     1164.529 &               0.109 &     1296.529 &               0.132 \\
     119.231 &               0.008 &      250.919 &              -2.618 &      380.042 &              -2.586 &      508.940 &              -2.518 &      638.362 &              -1.829 &      768.203 &              -1.036 &      901.226 &              -0.204 &     1033.240 &               0.067 &     1165.161 &               0.108 &     1297.242 &               0.132 \\
     119.863 &               0.008 &      251.692 &              -2.618 &      380.755 &              -2.586 &      509.630 &              -2.516 &      639.075 &              -1.826 &      768.975 &              -1.031 &      901.917 &              -0.199 &     1033.931 &               0.068 &     1165.933 &               0.109 &     1297.932 &               0.132 \\
     120.636 &               0.009 &      252.323 &              -2.617 &      381.446 &              -2.585 &      510.262 &              -2.514 &      639.766 &              -1.821 &      769.608 &              -1.028 &      902.548 &              -0.195 &     1034.645 &               0.068 &     1166.565 &               0.109 &     1298.646 &               0.133 \\
     121.267 &               0.009 &      252.955 &              -2.617 &      382.078 &              -2.585 &      511.034 &              -2.510 &      640.480 &              -1.818 &      770.380 &              -1.021 &      903.321 &              -0.190 &     1035.336 &               0.068 &     1167.338 &               0.110 &     1299.337 &               0.132 \\
     122.040 &               0.010 &      253.646 &              -2.617 &      382.768 &              -2.585 &      511.666 &              -2.509 &      641.170 &              -1.813 &      771.011 &              -1.018 &      904.035 &              -0.186 &     1036.049 &               0.068 &     1167.970 &               0.109 &     1300.051 &               0.133 \\
     122.672 &               0.009 &      254.278 &              -2.617 &      383.399 &              -2.585 &      512.438 &              -2.506 &      641.802 &              -1.810 &      771.784 &              -1.013 &      904.725 &              -0.181 &     1036.740 &               0.068 &     1168.742 &               0.110 &     1300.742 &               0.133 \\
     123.445 &               0.009 &      254.968 &              -2.617 &      384.032 &              -2.585 &      513.070 &              -2.504 &      642.574 &              -1.804 &      772.416 &              -1.010 &      905.357 &              -0.178 &     1037.454 &               0.069 &     1169.374 &               0.110 &     1301.456 &               0.133 \\
     124.158 &               0.009 &      255.601 &              -2.616 &      384.723 &              -2.585 &      513.843 &              -2.500 &      643.206 &              -1.801 &      773.188 &              -1.004 &      906.129 &              -0.173 &     1038.145 &               0.069 &     1170.146 &               0.110 &     1302.146 &               0.134 \\
     124.849 &               0.010 &      256.373 &              -2.617 &      385.354 &              -2.585 &      514.556 &              -2.499 &      643.978 &              -1.796 &      773.820 &              -1.001 &      906.762 &              -0.170 &     1038.776 &               0.070 &     1170.779 &               0.110 &     1302.778 &               0.133 \\
     125.481 &               0.010 &      257.005 &              -2.616 &      386.045 &              -2.585 &      515.248 &              -2.494 &      644.692 &              -1.794 &      774.593 &              -0.995 &      907.534 &              -0.163 &     1039.549 &               0.070 &     1171.550 &               0.110 &     1303.550 &               0.134 \\
     126.254 &               0.009 &      257.637 &              -2.616 &      386.759 &              -2.584 &      515.879 &              -2.493 &      645.383 &              -1.788 &      775.306 &              -0.993 &      908.247 &              -0.161 &     1040.180 &               0.071 &     1172.182 &               0.110 &     1304.182 &               0.133 \\
     126.967 &               0.009 &      258.328 &              -2.616 &      387.449 &              -2.584 &      516.652 &              -2.489 &      646.016 &              -1.784 &      775.997 &              -0.987 &      908.938 &              -0.155 &     1040.953 &               0.071 &     1172.954 &               0.110 &     1304.954 &               0.133 \\
     127.658 &               0.010 &      259.042 &              -2.616 &      388.081 &              -2.584 &      517.284 &              -2.487 &      646.787 &              -1.780 &      776.629 &              -0.984 &      909.570 &              -0.152 &     1041.585 &               0.072 &     1173.667 &               0.110 &     1305.586 &               0.133 \\
     128.290 &               0.010 &      259.732 &              -2.616 &      388.854 &              -2.584 &      517.915 &              -2.485 &      647.419 &              -1.777 &      777.401 &              -0.978 &      910.343 &              -0.146 &     1042.357 &               0.071 &     1174.359 &               0.111 &     1306.359 &               0.134 \\
     129.062 &               0.010 &      260.364 &              -2.616 &      389.485 &              -2.584 &      518.605 &              -2.481 &      648.051 &              -1.773 &      778.032 &              -0.975 &      910.974 &              -0.144 &     1043.071 &               0.071 &     1174.991 &               0.110 &     1306.990 &               0.134 \\
     129.694 &               0.010 &      261.054 &              -2.615 &      390.259 &              -2.583 &      519.460 &              -2.477 &      648.742 &              -1.768 &      778.806 &              -0.969 &      911.746 &              -0.139 &     1043.761 &               0.072 &     1175.762 &               0.111 &     1307.763 &               0.135 \\
     130.466 &               0.009 &      261.686 &              -2.615 &      390.890 &              -2.583 &      520.092 &              -2.475 &      649.455 &              -1.765 &      779.520 &              -0.966 &      912.379 &              -0.136 &     1044.393 &               0.072 &     1176.477 &               0.111 &     1308.394 &               0.134 \\
     131.181 &               0.010 &      262.318 &              -2.615 &      391.662 &              -2.583 &      520.864 &              -2.470 &      650.146 &              -1.760 &      780.210 &              -0.960 &      913.151 &              -0.131 &     1045.167 &               0.073 &     1177.168 &               0.111 &     1309.167 &               0.134 \\
     131.874 &               0.010 &      263.009 &              -2.615 &      392.294 &              -2.583 &      521.579 &              -2.469 &      650.778 &              -1.757 &      780.924 &              -0.957 &      913.783 &              -0.129 &     1045.879 &               0.073 &     1177.799 &               0.112 &     1309.799 &               0.134 \\
     132.503 &               0.009 &      263.640 &              -2.614 &      393.067 &              -2.583 &      522.269 &              -2.465 &      651.469 &              -1.751 &      781.614 &              -0.952 &      914.556 &              -0.124 &     1046.569 &               0.073 &     1178.572 &               0.111 &     1310.571 &               0.135 \\
     133.275 &               0.010 &      264.331 &              -2.615 &          NaN &                 NaN &          NaN &                 NaN &          NaN &                 NaN &          NaN &                 NaN &          NaN &                 NaN &          NaN &                 NaN &          NaN &                 NaN &          NaN &                 NaN \\
\bottomrule
\end{tabular}
